Target12.903.t1_FOR	Target12.903.t1_REV
Target12.9470.t0_FOR	Target12.9470.t0_REV
Target120.11211.t1_FOR	Target120.11211.t1_REV
Target120.13060.t0_FOR	Target120.13060.t0_REV
Target120.1500.t0_FOR	Target120.1500.t0_REV
Target120.16305.t1_FOR	Target120.16305.t1_REV
Target120.17874.t0_FOR	Target120.17874.t0_REV
Target120.20624.t1_FOR	Target120.20624.t1_REV
Target120.22597.t0_FOR	Target120.22597.t0_REV
Target120.4602.t1_FOR	Target120.4602.t1_REV
Target120.4957.t0_FOR	Target120.4957.t0_REV
Target120.7476.t1_FOR	Target120.7476.t1_REV
Target120.8727.t0_FOR	Target120.8727.t0_REV
Target121.11053.t1_FOR	Target121.11053.t1_REV
Target121.13135.t0_FOR	Target121.13135.t0_REV
Target121.15093.t1_FOR	Target121.15093.t1_REV
Target121.18381.t0_FOR	Target121.18381.t0_REV
Target121.20983.t1_FOR	Target121.20983.t1_REV
Target121.2741.t0_FOR	Target121.2741.t0_REV
Target121.4394.t1_FOR	Target121.4394.t1_REV
Target121.5123.t0_FOR	Target121.5123.t0_REV
Target121.6989.t1_FOR	Target121.6989.t1_REV
Target121.8238.t0_FOR	Target121.8238.t0_REV
Target121_m1_FOR	Target121_m1_REV
Target122.10278.t1_FOR	Target122.10278.t1_REV
Target122.12093.t0_FOR	Target122.12093.t0_REV
Target122.14406.t1_FOR	Target122.14406.t1_REV
Target122.17383.t0_FOR	Target122.17383.t0_REV
Target122.17679.t1_FOR	Target122.17679.t1_REV
Target122.5582.t1_FOR	Target122.5582.t1_REV
Target122.7220.t0_FOR	Target122.7220.t0_REV
Target122.7408.t1_FOR	Target122.7408.t1_REV
Target122.8333.t0_FOR	Target122.8333.t0_REV
Target123.10290.t0_FOR	Target123.10290.t0_REV
Target123.11776.t1_FOR	Target123.11776.t1_REV
Target123.15395.t0_FOR	Target123.15395.t0_REV
Target123.1559.t1_FOR	Target123.1559.t1_REV
Target123.16445.t1_FOR	Target123.16445.t1_REV
Target123.2551.t0_FOR	Target123.2551.t0_REV
Target123.3979.t1_FOR	Target123.3979.t1_REV
Target123.5036.t0_FOR	Target123.5036.t0_REV
Target123.599.t0_FOR	Target123.599.t0_REV
Target123.6113.t1_FOR	Target123.6113.t1_REV
Target123.8203.t0_FOR	Target123.8203.t0_REV
Target123.8497.t1_FOR	Target123.8497.t1_REV
Target124.11216.t0_FOR	Target124.11216.t0_REV
Target124.1142.t0_FOR	Target124.1142.t0_REV
Target124.11818.t1_FOR	Target124.11818.t1_REV
Target124.14281.t0_FOR	Target124.14281.t0_REV
Target124.15906.t1_FOR	Target124.15906.t1_REV
Target124.18500.t0_FOR	Target124.18500.t0_REV
Target124.2619.t1_FOR	Target124.2619.t1_REV
Target124.3942.t0_FOR	Target124.3942.t0_REV
Target124.6324.t1_FOR	Target124.6324.t1_REV
Target124.8097.t0_FOR	Target124.8097.t0_REV
Target124.8881.t1_FOR	Target124.8881.t1_REV
Target125.10728.t0_FOR	Target125.10728.t0_REV
Target125.13619.t1_FOR	Target125.13619.t1_REV
Target125.16051.t0_FOR	Target125.16051.t0_REV
Target125.17791.t1_FOR	Target125.17791.t1_REV
Target125.18396.t0_FOR	Target125.18396.t0_REV
Target125.19217.t1_FOR	Target125.19217.t1_REV
Target125.2053.t1_FOR	Target125.2053.t1_REV
Target125.4657.t0_FOR	Target125.4657.t0_REV
